game_seed,deck_in_seat_0,winner_seat,final_turn,points_seat0,points_seat1
72000346,altaria,0,10,4,1
72000346,blaziken,0,12,3,1
72000347,altaria,1,13,1,3
72000347,blaziken,1,5,0,1
72000348,altaria,0,10,3,0
72000348,blaziken,0,10,4,2
72000349,altaria,0,13,5,2
72000349,blaziken,0,13,3,2
72000350,altaria,0,9,3,1
72000350,blaziken,1,13,1,5
72000351,altaria,0,6,2,0
72000351,blaziken,0,12,3,2
72000352,altaria,0,7,3,0
72000352,blaziken,1,7,1,3
72000353,altaria,1,9,1,3
72000353,blaziken,1,11,1,5
72000354,altaria,1,16,2,5
72000354,blaziken,0,9,3,2
72000355,altaria,1,3,0,1
72000355,blaziken,0,12,5,1
72000356,altaria,1,13,1,3
72000356,blaziken,1,6,1,1
72000357,altaria,0,9,3,1
72000357,blaziken,0,9,4,2
72000358,altaria,1,8,0,4
72000358,blaziken,0,8,3,1
72000359,altaria,0,8,3,1
72000359,blaziken,0,9,3,1
72000360,altaria,0,9,3,0
72000360,blaziken,1,6,0,3
72000361,altaria,0,7,3,1
72000361,blaziken,1,10,0,3
72000362,altaria,1,9,2,3
72000362,blaziken,0,10,3,1
72000363,altaria,1,13,1,5
72000363,blaziken,1,9,2,3
72000364,altaria,0,3,1,0
72000364,blaziken,0,9,4,2
72000365,altaria,1,10,2,3
72000365,blaziken,1,14,2,3
72000366,altaria,0,7,4,1
72000366,blaziken,0,7,3,2
72000367,altaria,0,10,3,1
72000367,blaziken,0,8,3,1
72000368,altaria,0,12,5,0
72000368,blaziken,1,10,1,3
72000369,altaria,1,14,1,3
72000369,blaziken,1,12,1,2
72000370,altaria,0,11,4,2
72000370,blaziken,0,13,3,1
72000371,altaria,1,11,2,3
72000371,blaziken,0,10,3,1
72000372,altaria,0,10,3,1
72000372,blaziken,1,5,0,2
72000373,altaria,0,12,3,2
72000373,blaziken,1,12,1,3
72000374,altaria,1,12,1,3
72000374,blaziken,1,10,0,3
72000375,altaria,1,9,0,3
72000375,blaziken,0,7,3,2
72000376,altaria,1,12,2,3
72000376,blaziken,1,10,2,3
72000377,altaria,0,11,4,2
72000377,blaziken,0,8,3,2
72000378,altaria,0,9,3,1
72000378,blaziken,0,14,4,2
72000379,altaria,0,4,2,0
72000379,blaziken,1,5,0,2
